date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-12-31,66.3462,66.64,65.8913,65.9103,3531279,3531279,-0.578077,-0.869,66.205,"Dec 31, 15",-0.2092971642317464
2016-01-04,64.5267,64.612,63.2758,64.0528,9248281,9248281,-1.8574,-2.818,63.831,"Jan 4, 16",-0.2315809426008258
2016-01-05,63.8444,64.1666,62.2333,63.0673,10809158,10809158,-0.985574,-1.539,62.8533,"Jan 5, 16",-0.24340364170323642
2016-01-06,62.0964,62.3915,61.1446,61.3159,9752153,9752153,-1.7513,-2.777,61.6437,"Jan 6, 16",-0.2644145754505342
2016-01-07,60.2594,61.1557,60.0443,60.7639,11323947,11323947,-0.552051,-0.9,60.7552,"Jan 7, 16",-0.2710367265459484
2016-01-08,61.0875,61.305,60.5069,60.564,10003645,10003645,-0.199883,-0.329,60.8141,"Jan 8, 16",-0.27343485698792896
2016-01-11,60.6687,61.1161,60.0596,60.9638,8157737,8157737,0.399763,0.66,60.6991,"Jan 11, 16",-0.2686385961039678
2016-01-12,61.6776,61.7728,60.5355,61.2969,7559962,7559962,0.333134,0.546,61.0545,"Jan 12, 16",-0.2646425118107024
2016-01-13,60.5831,61.2684,59.2315,59.8216,11291194,11291194,-1.4753,-2.407,60.0575,"Jan 13, 16",-0.28234117034523964
2016-01-14,59.8216,60.6782,59.3647,60.2404,6663953,6663953,0.418799,0.7,60.177,"Jan 14, 16",-0.27731697310111014
2016-01-15,59.0411,60.012,58.5366,59.8787,8643751,8643751,-0.36169,-0.6,59.3293,"Jan 15, 16",-0.2816561615996813
2016-01-19,60.3546,60.7163,59.241,59.6217,7652078,7652078,-0.256991,-0.429,59.8391,"Jan 19, 16",-0.28473930078722026
2016-01-20,58.5747,60.4784,58.3368,59.9929,9043776,9043776,0.371209,0.623,59.1813,"Jan 20, 16",-0.2802861441085649
2016-01-21,59.9644,61.2208,59.498,59.6217,8992300,8992300,-0.371209,-0.619,60.1375,"Jan 21, 16",-0.28473930078722026
